bhf_Zwischenstopp,routeIdx,ankunftsZeitpunkt,abfahrtsZeitpunkt,bahnhofsInfoId,extId,id,tripId,Fahrtkosten,dep_bhf_Gesamt,arr_bhf_Gesamt,dep_bhf_Steckenabschnitt,arr_bhf_Streckenabschnitt,verkehrsmittelProduktGattung,verkehrsmittelName
Hamburg Dammtor,7,,2025-09-04T16:59:00,2513,8002548,A=1@O=Hamburg Dammtor@X=9989569@Y=53560751@U=80@L=8002548@i=U×008001089@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Hamburg Hbf (S-Bahn),Hamburg Dammtor,SBAHN,S 5
Hamburg Hbf (S-Bahn),8,2025-09-04T17:01:00,,2514,8098549,A=1@O=Hamburg Hbf (S-Bahn)@X=10007924@Y=53552805@U=80@L=8098549@i=U×008001020@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Hamburg Hbf (S-Bahn),Hamburg Dammtor,SBAHN,S 5
Hamburg Hbf,0,,2025-09-04T17:12:00,2514,8002549,A=1@O=Hamburg Hbf@X=10006909@Y=53552733@U=80@L=8002549@i=U×008001071@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,IR,FLX 1367
Hamburg-Harburg,1,2025-09-04T17:22:00,2025-09-04T17:25:00,2519,8000147,A=1@O=Hamburg-Harburg@X=9991699@Y=53455910@U=80@L=8000147@i=U×008001134@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,IR,FLX 1367
Stendal Hbf,2,2025-09-04T18:59:00,2025-09-04T19:02:00,6010,8010334,A=1@O=Stendal Hbf@X=11854408@Y=52594725@U=80@L=8010334@i=U×008024062@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,IR,FLX 1367
Berlin Hbf,3,2025-09-04T19:48:00,,1071,8098160,A=1@O=Berlin Hbf@X=13369549@Y=52525589@U=80@L=8098160@i=U×008031922@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,IR,FLX 1367
Hamburg Dammtor,7,,2025-09-04T16:59:00,2513,8002548,A=1@O=Hamburg Dammtor@X=9989569@Y=53560751@U=80@L=8002548@i=U×008001089@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Hamburg Hbf (S-Bahn),Hamburg Dammtor,SBAHN,S 5
Hamburg Hbf (S-Bahn),8,2025-09-04T17:01:00,,2514,8098549,A=1@O=Hamburg Hbf (S-Bahn)@X=10007924@Y=53552805@U=80@L=8098549@i=U×008001020@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Hamburg Hbf (S-Bahn),Hamburg Dammtor,SBAHN,S 5
Hamburg Hbf,0,,2025-09-04T17:12:00,2514,8002549,A=1@O=Hamburg Hbf@X=10006909@Y=53552733@U=80@L=8002549@i=U×008001071@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,IR,FLX 1367
Hamburg-Harburg,1,2025-09-04T17:22:00,2025-09-04T17:25:00,2519,8000147,A=1@O=Hamburg-Harburg@X=9991699@Y=53455910@U=80@L=8000147@i=U×008001134@,999c7f8b_3,,Hamburg Dammtor,Berlin Hbf,Berlin Hbf,Hamburg Hbf,IR,FLX 1367
